Time (s),KCGx (g),KCGy (g),KCGz (g),IMSepOutletDp (psid)
0.27,0.10284,0.001773,1.717192,35.319837
0.401,0.105418,0.004501,1.724444,35.175701
0.531,0.105802,0.003841,1.721805,35.376879
0.661,0.107292,0.00143,1.718747,35.23265
0.781,0.108206,-0.000128,1.715691,35.020133
0.911,0.107507,0.001642,1.721956,34.364821
1.052,0.111223,0.001099,1.740949,33.760406
1.182,0.112639,-0.005652,1.76604,35.131945
1.302,0.113079,-0.001633,1.77281,34.312764
1.442,0.111492,-0.000349,1.743565,35.678854
1.562,0.114732,-0.006885,1.740154,34.609453
1.733,0.115427,0.003339,1.753046,34.911637
1.853,0.117609,-0.002529,1.758444,33.855013
1.983,0.11475,0.003059,1.7735,34.255467
2.113,0.118552,-0.000189,1.76013,34.47494
2.243,0.119742,0.014092,1.736761,35.114137
2.373,0.11758,0.007083,1.751273,35.829158
2.504,0.122192,0.009147,1.750256,34.166588
2.624,0.119863,0.020191,1.758104,35.98832
2.754,0.119521,0.010558,1.740965,34.222726
2.884,0.124019,0.014295,1.733804,33.891997
3.014,0.122095,0.009001,1.735684,34.081025
3.135,0.123787,0.010326,1.751081,34.684118
3.265,0.123709,0.010028,1.753007,34.115644
3.395,0.124001,0.002774,1.737704,32.681776
3.525,0.124785,0.002283,1.736243,33.118311
3.655,0.125388,-0.001284,1.740569,34.206912
3.775,0.12387,-0.001181,1.74722,34.272209
3.886,0.126909,-0.004501,1.74351,33.415742
4.036,0.126293,-0.00343,1.733598,35.875812
4.166,0.127169,-0.011411,1.732887,35.583784
4.276,0.130038,-0.020896,1.746019,36.238586
4.416,0.126255,-0.017743,1.749017,35.43624
4.547,0.129523,-0.020063,1.739619,33.953561
4.667,0.130219,-0.020942,1.738131,34.665127
4.807,0.130032,-0.02326,1.723369,34.646832
4.937,0.132295,-0.021173,1.725623,35.106763
5.047,0.132127,-0.020356,1.725152,34.468772
5.187,0.133454,-0.023558,1.733247,35.159145
5.318,0.136654,-0.023485,1.741675,34.090903
5.528,0.141132,-0.019296,1.774273,34.187735
5.648,0.144515,-0.012601,1.797263,34.476656
5.768,0.146888,-0.006946,1.80335,34.344787
5.909,0.149926,-0.001179,1.80797,34.17104
6.039,0.150643,0.002233,1.80359,33.398606
6.209,0.151258,0.007629,1.79191,34.84372
6.349,0.153268,0.007029,1.790834,35.076225
6.479,0.152773,0.011404,1.778884,33.929144
6.589,0.152287,0.005957,1.773018,33.261682
6.74,0.15319,0.003863,1.754948,34.998661
6.87,0.152044,-0.001305,1.750318,36.215885
6.98,0.152583,-0.005575,1.745683,34.745635
7.12,0.151987,-0.011876,1.734991,34.635841
7.25,0.151625,-0.018563,1.722222,35.87558
7.361,0.151355,-0.018191,1.703799,33.619749
7.511,0.151532,-0.021782,1.707178,34.30182
7.641,0.15193,-0.023478,1.693162,34.905817
7.751,0.151902,-0.017696,1.689038,36.290226
7.891,0.153538,-0.021858,1.682912,35.062521
8.022,0.156654,-0.018625,1.687783,34.776035
8.222,0.162562,-0.019554,1.707312,33.513757
8.352,0.163685,-0.013151,1.725859,34.967984
8.522,0.170132,-0.01367,1.746288,35.162437
8.652,0.17524,-0.005889,1.759547,35.921979
8.783,0.177402,-0.008588,1.764725,34.64507
8.913,0.178124,-0.00448,1.762202,34.717114
9.023,0.180383,-0.001595,1.767516,35.575181
9.163,0.187041,-0.001089,1.770511,33.642705
9.293,0.177845,0.006209,1.743202,35.165869
9.404,0.184733,0.002452,1.731741,34.070011
9.554,0.181624,0.005989,1.727655,34.572955
9.684,0.182569,0.004006,1.722714,33.487021
9.794,0.188434,0.001344,1.72533,35.104375
9.934,0.18273,0.000405,1.717199,35.963532
10.064,0.187899,-0.001731,1.703274,33.897447
10.225,0.18843,-0.001387,1.702785,35.86983
10.355,0.185807,-0.003714,1.694816,34.558092
10.485,0.192023,-0.000615,1.697356,35.310051
10.605,0.188903,-0.003332,1.691846,34.737821
10.735,0.188205,-0.009717,1.69125,35.294353
10.866,0.187799,-0.00756,1.678438,35.458662
10.996,0.180298,-0.004853,1.629735,36.202158
11.116,0.170927,-0.003737,1.543206,35.357331
11.246,0.155303,-0.00572,1.448755,35.200581
11.376,0.1353,0.000476,1.336781,35.331778
11.507,0.120506,0.000072,1.204456,34.462419
11.617,0.105232,-0.004594,1.077441,37.28044
11.757,0.091208,-0.001589,0.956213,34.520644
11.887,0.078453,-0.003413,0.856487,36.284034
12.007,0.065781,-0.005122,0.757148,35.871383
12.147,0.057257,-0.007143,0.664783,34.696964
12.278,0.049394,-0.005584,0.568807,34.026951
12.388,0.044925,-0.00453,0.495693,34.538707
12.528,0.03904,-0.007027,0.435216,34.935846
12.658,0.034027,-0.005294,0.38898,37.005989
12.828,0.030655,-0.006272,0.326928,34.617963
12.939,0.027294,-0.004022,0.288323,35.525861
13.089,0.025076,-0.005218,0.262719,34.964227
13.209,0.021545,-0.005497,0.246168,34.661278
13.329,0.017987,-0.007084,0.235583,35.901852
13.469,0.015999,-0.009673,0.225734,36.107946
13.6,0.013672,-0.009699,0.214769,33.601198
13.76,0.011729,-0.012648,0.205842,32.801171
13.88,0.010021,-0.00746,0.208556,34.103424
14.01,0.006708,-0.003217,0.215937,34.912194
14.14,0.006601,-0.00707,0.209248,35.596677
14.271,0.006458,-0.000677,0.191915,35.461306
14.401,0.005527,-0.002393,0.17598,34.8411
14.521,0.004735,0.000518,0.173031,37.028968
14.651,0.003244,0.002759,0.168889,35.921794
14.781,0.003586,0.004115,0.16377,34.311373
14.911,0.002351,0.008287,0.152112,35.726992
15.042,0.001836,0.00347,0.142106,34.946164
15.162,0.002447,0.007242,0.127764,34.263444
15.292,0.000935,0.003102,0.122947,34.033861
15.422,0.000232,0.004648,0.112251,32.629348
15.532,0.00066,0.004656,0.104583,34.394989
15.683,-0.000291,0.003465,0.08895,35.293356
15.803,0.00032,0.004911,0.070696,34.498708
15.923,0.000095,0.003799,0.058056,33.404704
16.063,0.000869,0.004783,0.044392,33.94679
16.193,0.000229,0.004997,0.040868,33.795003
16.303,-0.000338,0.004525,0.042413,35.044713
16.444,-0.000884,0.00404,0.039845,34.860253
16.574,-0.000843,0.00243,0.026158,32.771722
16.694,-0.000644,0.00153,0.008611,33.457387
16.834,0.000914,-0.001157,-0.002153,34.244105
16.964,-0.000124,0.000599,-0.011241,36.213149
17.075,0.000627,0.000205,-0.002137,34.65249
17.225,-0.000542,-0.000222,0.002973,36.242598
17.345,-0.000781,0.003492,0.004127,35.20392
17.465,0.000349,0.003048,0.000726,35.99843
17.605,0.000566,0.003298,0.000576,35.299454
17.736,0.00086,0.004348,0.003383,34.709045
17.926,0.000303,0.003819,0.015482,37.599668
18.056,0.000684,0.004674,0.025474,36.251247
18.176,0.00061,0.000052,0.025034,35.032377
18.296,0.00066,0.003805,0.022537,35.164316
18.437,0.001496,0.002715,0.025213,35.556585
18.567,0.000125,0.001486,0.02338,34.830735
18.677,0.001078,0.000315,0.02988,34.395893
18.817,-0.000281,0.000975,0.031168,34.267131
18.947,0.000424,0.001295,0.030889,34.007218
19.067,0.000662,-0.000033,0.030762,34.491473
19.208,-0.00067,0.002342,0.032049,35.068503
19.338,0.000801,-0.001347,0.033053,35.765948
19.448,-0.000459,-0.000279,0.031353,33.928565
19.598,-0.000101,0.001203,0.025143,34.597558
19.718,0.000857,-0.002981,0.018273,34.548724
19.839,0.000606,-0.000875,0.008633,35.087865
19.979,0.000173,-0.002016,0.004823,33.375024
20.109,0.000917,0.000192,0.002689,33.167748
20.229,0.000521,-0.001692,-0.003995,35.101245
20.369,0.001282,-0.000965,-0.006644,34.322248
20.489,0.001277,-0.000227,-0.010678,34.180176
20.61,0.000395,-0.001227,-0.008208,34.807315
20.75,0.001407,-0.000423,-0.011096,35.840497
20.88,0.001476,-0.000292,-0.014585,33.548237
21.04,0.0014,0.000468,-0.021127,32.81557
21.17,0.002682,-0.000713,-0.024757,34.328068
21.291,0.002246,-0.001497,-0.023357,34.560133
21.421,0.001301,-0.000331,-0.024096,35.134797
21.551,0.001976,-0.000952,-0.021532,36.572422
21.681,0.002033,0.001177,-0.026321,36.318816
21.811,0.002581,0.003635,-0.03024,37.075761
21.932,0.003472,0.003455,-0.018611,35.401759
22.062,0.00169,0.000253,-0.019029,35.094056
22.192,0.002781,0.003549,-0.019962,34.810376
22.322,0.003033,0.002987,-0.025941,33.655226
22.432,0.002642,0.00222,-0.028149,36.780301
22.572,0.003084,0.005322,-0.024159,35.506568
22.703,0.002472,0.003295,-0.020254,37.169231
22.813,0.001535,0.004082,-0.017019,31.630786
22.963,0.002826,0.004367,-0.019388,35.519113
23.083,0.002432,0.002162,-0.015784,34.515519
23.203,0.00218,0.004897,-0.011189,34.14296
23.344,0.002191,0.004085,-0.004155,33.149406
23.474,0.001714,0.004152,0.000814,34.862502
23.634,0.002223,0.004749,-0.000197,34.960077
23.754,0.002154,0.004974,0.001784,31.445399
23.884,0.002014,0.003245,0.0073,33.705729
24.015,0.001343,0.003688,0.012164,34.034695
24.145,0.001713,0.004219,0.020954,34.767131
24.275,0.001605,0.001385,0.020997,33.297437
24.395,0.001189,0.00164,0.023578,33.779119
24.525,0.001336,0.002555,0.026321,34.416252
24.655,0.000567,0.000826,0.027311,33.767525
24.786,0.000786,0.000517,0.026118,33.166565
24.916,0.001276,0.001576,0.023822,34.254957
25.026,0.001124,0.00026,0.021433,34.446002
25.166,0.001424,0.000225,0.017675,34.326793
25.296,0.001385,0.000188,0.016239,33.602474
25.407,0.001465,0.000508,0.012299,34.730424
25.547,0.001452,0.00012,0.005719,34.468169
25.677,0.001863,-0.000163,0.000074,35.381377
25.837,0.001801,0.000154,-0.004486,33.58608
25.967,0.001907,-0.000873,-0.006112,33.739955
26.098,0.001322,-0.000868,-0.008403,35.706332
26.228,0.001361,-0.00164,-0.010222,35.656339
26.348,0.00164,-0.002002,-0.013227,35.306318
26.478,0.001116,-0.001651,-0.015625,35.164362
26.608,0.001293,-0.001776,-0.016479,34.992146
26.728,0.001244,-0.002465,-0.016824,35.361876
26.859,0.000989,-0.002464,-0.015816,34.377806
26.989,0.000925,-0.002327,-0.014703,35.817031
27.119,0.001264,-0.002606,-0.013612,34.099436
27.229,0.000995,-0.002636,-0.012104,35.112839
27.379,0.001072,-0.002457,-0.011183,35.000934
27.5,0.000565,-0.00264,-0.00925,33.522476
27.62,0.000986,-0.001966,-0.006883,35.632989
27.76,0.000944,-0.002238,-0.004224,36.04564
27.89,0.000221,-0.002972,0.000334,34.982871
28.05,0.000186,-0.002734,0.006185,35.759687
28.171,0.000028,-0.002308,0.008932,36.334584
28.301,-0.000405,-0.003075,0.01263,34.599691
28.431,-0.000131,-0.00216,0.018452,34.33157
28.561,-0.000713,-0.002495,0.021725,33.754261
28.681,-0.000755,-0.002696,0.025735,32.322805
28.811,-0.00093,-0.001571,0.030355,33.93348
28.942,-0.001141,-0.002366,0.03178,35.785403
29.072,-0.000997,-0.001619,0.033624,35.474592
29.202,-0.001164,-0.001676,0.035149,34.401388
29.322,-0.000933,-0.001643,0.036088,35.039379
29.442,-0.001616,-0.001614,0.035283,34.355546
29.583,-0.00066,-0.001,0.032721,35.482476
29.713,-0.001339,-0.001524,0.031572,35.243247
29.823,-0.001377,-0.001618,0.031768,35.736152
29.963,-0.001169,-0.001017,0.030281,35.928008
30.093,-0.001733,-0.00218,0.027917,34.843906
30.213,-0.001718,-0.001935,0.023593,34.459775
30.354,-0.001561,-0.002588,0.02224,35.408971
30.494,-0.001502,-0.003117,0.022058,36.665707
30.614,-0.001617,-0.004185,0.017859,33.832381
30.744,-0.002785,-0.003662,0.015859,34.403035
30.874,-0.002641,-0.005224,0.012246,33.534927
31.005,-0.003041,-0.004323,0.010225,34.688292
31.135,-0.003417,-0.004431,0.009236,36.47596
31.255,-0.003546,-0.004283,0.007313,36.065558
31.385,-0.003471,-0.003068,0.002449,34.580862
31.515,-0.003885,-0.002875,-0.000939,36.364983
31.646,-0.003127,-0.001797,-0.005344,35.218807
31.776,-0.00424,-0.001238,-0.007898,33.678831
31.896,-0.00352,-0.000121,-0.011425,35.619447
32.026,-0.004282,0.000875,-0.012895,34.028968
32.156,-0.003967,0.000983,-0.014532,34.882421
32.286,-0.004052,0.001859,-0.017765,34.278006
32.407,-0.004111,0.003441,-0.014882,34.776962
32.527,-0.004448,0.003863,-0.016372,34.53444
32.667,-0.004488,0.005031,-0.015238,34.440576
32.797,-0.004566,0.00439,-0.012666,34.046521
32.957,-0.004491,0.005113,-0.009516,34.358305
33.088,-0.005712,0.004781,-0.005285,35.735711
33.218,-0.006037,0.006094,0.000357,32.69926
33.338,-0.005404,0.005822,0.004168,34.90642
33.468,-0.006683,0.005336,0.006823,34.920611
33.598,-0.006579,0.00573,0.01311,34.850097
33.729,-0.006382,0.005357,0.015844,34.559553
33.849,-0.007654,0.004041,0.017854,34.779188
33.979,-0.007292,0.00404,0.020649,34.914837
34.109,-0.008198,0.002697,0.020289,35.671388
34.239,-0.007953,0.001888,0.021435,35.398652
34.369,-0.008249,0.001588,0.022445,33.808266
34.49,-0.009488,0.002094,0.023524,34.299014
34.62,-0.009229,0.001203,0.02026,34.966477
34.73,-0.008644,-0.000403,0.019463,33.801472
34.88,-0.009765,0.000676,0.020981,34.475288
35.01,-0.009604,-0.001645,0.017387,35.276151
35.121,-0.010206,-0.001588,0.019253,35.08877
35.261,-0.010736,-0.000849,0.017586,34.825031
35.391,-0.011054,-0.002697,0.016613,34.536179
35.511,-0.010697,-0.002569,0.010429,34.720291
35.651,-0.010846,-0.001586,0.012001,35.882351
35.771,-0.011136,-0.001472,0.01466,34.299895
35.942,-0.010774,-0.00215,0.014042,33.790365
36.062,-0.012222,-0.000533,0.017913,35.109291
36.192,-0.012189,-0.000773,0.021634,34.827094
36.322,-0.012154,-0.002298,0.028724,35.135609
36.452,-0.013737,0.00102,0.03436,33.532794
36.583,-0.01307,0.000073,0.038058,35.016284
36.703,-0.01292,0.001659,0.040662,34.57379
36.833,-0.013732,0.002415,0.040065,35.759247
36.963,-0.01271,0.002513,0.036485,34.010673
37.093,-0.01408,0.001949,0.034881,33.287698
37.214,-0.014968,0.00156,0.047078,34.757137
37.344,-0.014826,0.001469,0.079313,33.295003
37.474,-0.01463,0.00056,0.112362,34.922165
37.604,-0.012723,0.000282,0.142372,36.176049
37.714,-0.011093,-0.002277,0.184147,35.212175
37.854,-0.012175,-0.002522,0.233456,36.239514
37.985,-0.011269,-0.004341,0.281866,36.512899
38.095,-0.009825,-0.003695,0.335941,33.043716
38.245,-0.005676,-0.005196,0.387984,33.914281
38.365,-0.001803,-0.00437,0.438983,33.641081
38.535,0.003679,-0.005271,0.517169,33.309309
38.656,0.008822,-0.005408,0.576433,33.033327
38.786,0.014549,-0.005109,0.62988,32.518673
38.916,0.01919,-0.00439,0.682819,32.957132
39.046,0.025002,-0.004994,0.736087,33.797298
39.166,0.028914,-0.004492,0.795052,35.448668
39.297,0.033424,-0.005265,0.84649,33.879592
39.427,0.038497,-0.001625,0.898721,32.724442
39.557,0.045294,0.000338,0.94675,32.894548
39.677,0.050148,-0.001209,0.985569,31.17489
39.807,0.053343,-0.000742,1.028622,31.243479
39.917,0.056928,-0.001125,1.061837,33.048284
40.068,0.062248,0.001953,1.089758,33.573651
40.198,0.064722,-0.001073,1.110893,35.690379
40.308,0.071553,0.001015,1.132434,34.988088
40.448,0.076043,0.003003,1.155152,35.138902
40.578,0.080323,0.001887,1.177599,34.354224
40.699,0.084785,0.001607,1.194448,33.969236
40.839,0.086972,0.002031,1.205398,32.743433
40.959,0.090422,0.002207,1.209161,33.294516
41.129,0.094686,0.002122,1.227781,36.005989
41.329,0.098793,-0.002562,1.247954,34.79964
41.45,0.101059,-0.001026,1.258065,33.804834
41.58,0.104188,-0.003731,1.269377,34.120885
41.71,0.10605,-0.003827,1.278028,31.959405
41.84,0.108624,-0.007048,1.295069,33.454813
41.97,0.109374,-0.005507,1.312014,35.11583
42.091,0.108644,-0.007084,1.328604,27.144838
42.221,0.110284,-0.007038,1.336692,33.63016
42.351,0.112094,-0.00638,1.346878,31.609987
42.481,0.112211,-0.008253,1.357571,33.082161
42.611,0.111434,-0.009569,1.363847,33.755885
42.731,0.111618,-0.012096,1.37688,33.763258
42.862,0.113522,-0.015311,1.391359,33.659098
42.992,0.113627,-0.018014,1.40862,33.028157
43.122,0.11153,-0.016983,1.416117,35.376809
43.232,0.111022,-0.019214,1.423602,32.734019
43.372,0.114785,-0.020779,1.43796,32.590578
43.503,0.113672,-0.022117,1.453551,35.377922
43.623,0.117127,-0.01938,1.471208,35.041211
43.763,0.120889,-0.021063,1.495706,34.02862
43.883,0.121067,-0.019723,1.511055,35.10943
44.003,0.123777,-0.014956,1.518224,32.443637
44.143,0.119473,-0.014511,1.511979,34.404519
44.274,0.119676,-0.013492,1.522221,33.473526
44.434,0.120522,-0.009229,1.518664,32.891
44.564,0.116542,-0.009529,1.512702,33.554544
44.694,0.11501,-0.008463,1.520218,33.056654
44.814,0.119948,-0.004416,1.516237,32.967938
44.945,0.113412,-0.008051,1.518761,33.636769
45.075,0.113915,-0.006389,1.502755,36.336787
45.205,0.109789,-0.00396,1.489706,36.058254
45.325,0.104036,-0.006322,1.474273,32.757369
45.455,0.103412,-0.005521,1.458979,34.027322
45.586,0.097615,-0.006552,1.455518,34.125661
45.716,0.094815,-0.006852,1.442114,34.566185
45.826,0.093646,-0.009429,1.442675,33.967799
45.966,0.08837,-0.008558,1.426817,35.224627
46.096,0.08866,-0.010266,1.421941,35.134148
46.226,0.086091,-0.012194,1.417079,35.847314
46.357,0.083205,-0.011121,1.414792,35.486256
46.477,0.083168,-0.013337,1.413386,35.777217
46.597,0.079561,-0.010315,1.406238,37.328625
46.737,0.079211,-0.011525,1.40651,35.801054
46.867,0.079691,-0.012138,1.409575,37.149545
47.028,0.077575,-0.008027,1.414849,35.194483
47.158,0.076841,-0.004996,1.417928,34.612328
47.278,0.077599,-0.000937,1.416769,34.731537
47.408,0.075547,0.001637,1.416937,34.634032
47.538,0.076673,0.005901,1.424239,34.363523
47.669,0.076767,0.00357,1.435456,34.611726
47.799,0.074487,0.005262,1.44778,35.854989
47.919,0.076202,0.003336,1.459728,35.056631
48.049,0.076309,0.002891,1.473487,35.990012
48.179,0.075588,0.001985,1.483435,33.295211
48.309,0.076199,-0.002007,1.498652,36.014174
48.44,0.074466,-0.003979,1.50428,35.381099
48.56,0.07504,-0.006008,1.512209,35.418037
48.69,0.074815,-0.010254,1.511871,34.975219
48.82,0.07299,-0.015468,1.515103,33.824497
48.95,0.071812,-0.019958,1.513541,35.341239
49.081,0.069657,-0.022795,1.51288,36.112189
49.191,0.068184,-0.025156,1.503054,35.75229
49.331,0.068331,-0.024842,1.502123,35.361041
49.461,0.067233,-0.027773,1.498345,35.194483
49.631,0.065993,-0.02838,1.498485,35.187063
49.762,0.066517,-0.02687,1.502487,35.009421
49.892,0.066146,-0.022428,1.498919,35.148107
50.012,0.065379,-0.020331,1.504385,34.620027
50.132,0.06683,-0.017131,1.500398,35.611957
50.272,0.065362,-0.01289,1.504188,36.075576
50.402,0.064588,-0.010037,1.497038,36.575181
50.513,0.064967,-0.004613,1.503044,34.652652
50.653,0.064724,-0.000656,1.500213,36.388635
50.783,0.0645,0.001524,1.507176,33.569918
50.943,0.062252,0.003941,1.506702,35.582439
51.073,0.062541,0.004853,1.501764,35.404333
51.204,0.0616,0.005085,1.500053,34.796486
51.334,0.060475,0.003124,1.50005,34.74909
51.454,0.059059,0.001038,1.502134,35.111007
51.584,0.058471,-0.003917,1.499002,34.970024
51.714,0.05763,-0.004537,1.496451,35.245009
51.845,0.055712,-0.006085,1.493578,35.99727
51.975,0.055147,-0.008653,1.489032,33.854016
52.095,0.052971,-0.009619,1.489242,34.861691
52.225,0.052888,-0.012567,1.491789,33.575367
52.355,0.05223,-0.016601,1.494219,36.195921
52.485,0.051774,-0.024628,1.497795,36.314666
52.616,0.050781,-0.025565,1.501586,33.810793
52.726,0.050737,-0.029727,1.508372,35.409666
52.866,0.050111,-0.03138,1.50688,34.109569
52.996,0.050235,-0.029738,1.518737,35.614346
53.106,0.049717,-0.030266,1.515108,36.319118
53.247,0.04964,-0.027648,1.527036,34.882421
53.377,0.049726,-0.022236,1.527539,34.206749
53.497,0.050229,-0.020933,1.534606,35.721172
53.637,0.050286,-0.017522,1.545516,35.617453
53.767,0.051025,-0.014396,1.54566,36.863267
53.928,0.051393,-0.009903,1.55701,33.85172
54.048,0.051721,-0.008497,1.560585,36.281924
54.178,0.053418,-0.002489,1.56504,34.263397
54.308,0.055302,-0.000561,1.566998,36.073813
54.438,0.055092,0.000355,1.573511,36.016029
54.568,0.057289,0.00287,1.582922,36.875997
54.689,0.058743,0.00074,1.591192,35.025072
54.819,0.058063,0.003374,1.596878,35.658635
54.949,0.058611,-0.000006,1.600857,37.384994
55.079,0.059262,-0.001124,1.612557,37.455114
55.209,0.057679,-0.004622,1.620273,34.153278
55.33,0.05768,-0.006629,1.624727,35.342468
55.46,0.056916,-0.007168,1.620338,34.26291
55.59,0.055949,-0.011491,1.621671,35.611007
55.7,0.054248,-0.009194,1.617796,35.785263
55.85,0.054374,-0.00803,1.616366,36.016725
55.97,0.053333,-0.00395,1.609982,35.546382
56.101,0.053299,-0.006974,1.603781,36.481873
56.231,0.051298,-0.007925,1.600095,37.705172
56.361,0.050293,-0.009073,1.582757,36.681706
56.471,0.048579,-0.010879,1.573294,37.039194
56.611,0.046709,-0.011094,1.568774,36.037014
56.742,0.047828,-0.013002,1.553373,36.524006
57.022,0.047219,-0.008666,1.547734,37.547866
57.132,0.046717,-0.005925,1.551062,38.040423
57.282,0.044428,-0.003986,1.558143,35.915371
57.413,0.045601,-0.000755,1.558154,35.002974
57.523,0.044738,0.002448,1.55975,36.767409
57.663,0.043915,0.002078,1.565712,36.001467
57.793,0.043933,0.000517,1.572421,39.252754
57.913,0.045266,-0.006365,1.579011,38.683329
58.053,0.044947,-0.009904,1.594461,35.921515
58.174,0.045085,-0.011815,1.598957,34.006986
58.334,0.045778,-0.013131,1.608355,36.855453
58.464,0.043516,-0.015424,1.609793,36.877482
58.594,0.043428,-0.014396,1.610753,36.664014
58.724,0.04252,-0.016357,1.6083,35.510719
58.845,0.042056,-0.017309,1.605493,36.698773
58.975,0.042386,-0.017584,1.606573,36.683979
59.105,0.042211,-0.01753,1.60156,36.260823
59.235,0.0422,-0.015229,1.602269,34.815501
59.365,0.041191,-0.015813,1.608143,36.830781
59.486,0.04208,-0.012195,1.596745,37.374606
59.616,0.043868,-0.013288,1.607875,37.496366
59.726,0.046106,-0.011767,1.611774,37.45588
59.876,0.051284,-0.007584,1.613939,35.481178
60.006,0.053868,-0.006577,1.619949,36.178391
60.116,0.056681,-0.005966,1.605062,36.157521
60.257,0.059025,-0.00429,1.604089,37.117059
60.387,0.059334,0.000203,1.578831,34.703086
60.507,0.060367,-0.00008,1.571607,35.257183
60.647,0.058525,-0.000679,1.541401,35.277588
60.767,0.059506,-0.001932,1.49394,35.182101
60.928,0.05737,-0.002625,1.449309,37.94788
61.058,0.053311,-0.001094,1.399974,35.971114
61.188,0.054411,-0.005816,1.369997,36.086033
61.318,0.051862,-0.009286,1.346022,36.091506
61.438,0.050912,-0.010279,1.331735,37.616896
61.569,0.051114,-0.010257,1.318416,35.305321
61.699,0.047531,-0.008617,1.313935,35.701184
61.829,0.049837,-0.01016,1.313961,34.673846
61.959,0.048916,-0.009701,1.32227,36.287327
62.079,0.050126,-0.007538,1.317646,35.811674
62.209,0.052058,-0.002692,1.325023,36.368044
62.34,0.052947,-0.002561,1.353545,37.592642
62.47,0.055021,-0.008083,1.413219,36.051298
62.6,0.05638,0.000008,1.460589,36.486001
62.71,0.059001,-0.002382,1.515134,37.135354
62.85,0.062009,-0.001485,1.553315,35.900971
62.981,0.062441,-0.000184,1.601329,37.90002
63.091,0.064031,-0.004468,1.631971,35.596561
63.241,0.064861,-0.006722,1.658734,34.406119
63.361,0.065493,-0.0082,1.677659,36.054498
63.521,0.065734,-0.001704,1.677361,36.675979
63.652,0.068402,-0.005482,1.691965,37.057466
63.782,0.065692,0.000754,1.698372,37.135354
63.912,0.066306,-0.002332,1.704221,35.188802
64.042,0.066373,0.000718,1.703161,36.467079
64.162,0.066167,0.000538,1.705676,35.513177
64.292,0.068076,-0.002935,1.714526,35.391139
64.423,0.067148,0.000785,1.718467,36.770562
64.553,0.065763,-0.001122,1.732277,35.448599
64.673,0.067919,-0.000182,1.726037,35.307269
64.803,0.067524,-0.006143,1.742185,37.224001
64.933,0.066876,-0.006078,1.758102,38.015032
65.064,0.067645,-0.00371,1.760187,37.989154
65.194,0.067232,-0.008667,1.777393,36.43348
65.304,0.067189,-0.006087,1.763299,37.119099
65.444,0.067907,-0.007555,1.76558,36.876971
65.574,0.066744,-0.005447,1.754666,36.188825
65.694,0.06667,-0.007417,1.758829,37.141823
65.835,0.064916,-0.004955,1.762077,37.130484
65.955,0.067557,-0.007806,1.757737,36.628931
66.135,0.067288,-0.006289,1.757187,36.602728
66.255,0.065486,-0.003972,1.75731,36.404611
66.385,0.066008,-0.005924,1.76093,36.447022
66.516,0.065888,-0.004377,1.757419,36.016632
66.626,0.064612,-0.002028,1.762084,35.765855
66.776,0.068192,-0.003151,1.763794,36.994441
66.896,0.065841,-0.002898,1.7665,37.880913
67.016,0.065008,-0.002769,1.772223,36.109337
67.157,0.067967,0.00012,1.769421,35.902501
67.287,0.065733,-0.001521,1.770539,36.38031
67.437,0.065193,-0.000278,1.761326,37.142867
67.567,0.067213,-0.003282,1.760838,36.098532
67.697,0.063882,-0.001858,1.767227,38.356218
67.828,0.065666,-0.000446,1.763658,38.383974
67.948,0.066949,-0.00283,1.760555,36.387128
68.078,0.064024,-0.004323,1.77009,37.744824
68.208,0.0665,-0.003693,1.763182,37.27404
68.338,0.06519,-0.003436,1.760432,37.127238
68.448,0.065602,-0.005959,1.759783,37.367557
68.589,0.064461,-0.005183,1.75401,37.128119
68.719,0.066498,-0.005696,1.76059,36.910547
68.829,0.066693,-0.004084,1.758943,36.767177
68.979,0.065594,-0.008854,1.769099,36.613186
69.099,0.065881,-0.006326,1.77118,36.834538
69.32,0.067566,-0.008578,1.762332,37.394571
69.44,0.068569,-0.004843,1.768905,36.2253
69.58,0.065272,-0.005114,1.761771,37.213659
69.71,0.06965,-0.000765,1.766389,36.30873
69.921,0.066784,-0.002537,1.766159,37.082578
70.051,0.070901,0.00165,1.768515,35.292197
70.181,0.067056,0.000503,1.759535,36.10892
70.311,0.068457,0.00051,1.772889,36.452123
70.431,0.068806,0.002279,1.775498,36.327141
70.561,0.068261,-0.003499,1.771178,37.464807
70.692,0.069037,-0.003947,1.773926,36.210761
70.822,0.068635,-0.000855,1.770168,37.796672
70.952,0.068213,-0.001802,1.768431,37.219271
71.072,0.069405,-0.0006,1.739477,36.830735
71.202,0.06666,0.001467,1.744345,36.972691
71.333,0.069723,-0.002729,1.741107,37.172362
71.463,0.070951,-0.008329,1.755651,37.096282
71.583,0.067746,-0.00587,1.786634,36.676211
71.703,0.073596,0.001603,1.780204,34.713799
71.843,0.066958,-0.007515,1.772211,36.126334
71.974,0.07111,-0.003164,1.737855,36.493792
72.094,0.071782,-0.002426,1.747805,36.885458
72.234,0.069035,-0.005924,1.763078,37.218691
72.354,0.075572,-0.006623,1.773864,36.857123
72.534,0.073153,-0.007633,1.76721,37.90373
72.644,0.071247,-0.010642,1.748274,38.140617
72.785,0.073846,-0.008974,1.751568,38.707004
72.915,0.073519,-0.008885,1.75968,36.2496
73.025,0.073144,-0.00579,1.768949,36.08077
73.165,0.076525,-0.004589,1.767805,36.139504
73.295,0.076407,-0.005143,1.765716,36.004528
