Time GX GY GZ
s m/s^2 m/s^2 m/s^2
108.176 0.01 0.01 -0.22
108.316 0.01 0.01 -0.21
108.446 -0.00 -0.00 -0.20
108.566 0.00 0.01 -0.18
108.706 -0.00 -0.00 -0.17
108.826 -0.01 -0.01 -0.12
108.947 -0.01 -0.01 -0.07
109.087 -0.01 -0.01 -0.01
109.217 -0.01 -0.01 0.05
109.427 -0.01 -0.01 0.13
109.548 -0.02 -0.02 0.16
109.688 -0.02 -0.01 0.18
109.818 -0.02 -0.01 0.17
109.938 -0.03 -0.00 0.20
110.068 -0.02 -0.01 0.21
110.198 -0.03 -0.01 0.17
110.329 -0.02 -0.01 0.13
110.449 -0.02 -0.01 0.11
110.579 -0.03 -0.02 0.10
110.709 -0.03 -0.01 0.07
110.819 -0.03 -0.01 0.00
110.97 -0.03 -0.01 -0.07
111.09 -0.03 -0.01 -0.09
111.21 -0.04 -0.01 -0.09
111.35 -0.04 -0.01 -0.10
111.48 -0.03 -0.01 -0.16
111.641 -0.03 -0.02 -0.22
111.761 -0.04 -0.02 -0.22
111.891 -0.04 -0.01 -0.22
112.021 -0.04 -0.02 -0.20
112.151 -0.04 -0.03 -0.22
112.281 -0.05 -0.03 -0.19
112.402 -0.05 -0.03 -0.15
112.532 -0.06 -0.03 -0.10
112.662 -0.06 -0.03 -0.05
112.792 -0.06 -0.04 0.00
112.922 -0.06 -0.04 0.07
113.033 -0.08 -0.06 0.13
113.173 -0.08 -0.06 0.19
113.303 -0.08 -0.04 0.20
113.413 -0.08 -0.05 0.23
113.553 -0.09 -0.04 0.27
113.683 -0.09 -0.04 0.30
113.844 -0.09 -0.05 0.30
113.974 -0.08 -0.04 0.28
114.104 -0.09 -0.05 0.23
114.234 -0.09 -0.04 0.20
114.354 -0.09 -0.02 0.19
114.485 -0.09 -0.02 0.18
114.615 -0.10 -0.02 0.18
114.745 -0.10 0.01 0.22
114.875 -0.10 0.02 0.20
114.995 -0.10 0.01 0.22
115.126 -0.10 0.04 0.18
115.236 -0.10 0.05 0.17
115.386 -0.11 0.04 0.22
115.506 -0.11 0.04 0.23
115.626 -0.12 0.04 0.27
115.766 -0.12 0.03 0.26
115.897 -0.12 0.03 0.28
116.057 -0.13 0.04 0.33
116.177 -0.13 0.04 0.34
116.307 -0.13 0.03 0.33
116.437 -0.14 0.03 0.30
116.568 -0.15 0.03 0.26
116.688 -0.15 0.03 0.33
116.818 -0.15 0.03 0.46
116.948 -0.14 0.03 0.76
117.078 -0.13 0.03 1.18
117.209 -0.11 0.04 1.56
117.329 -0.08 0.03 2.01
117.449 -0.07 0.01 2.53
117.589 -0.04 0.02 3.05
117.719 -0.00 0.01 3.53
117.829 0.03 0.02 4.02
117.97 0.08 0.02 4.50
118.1 0.14 0.02 5.05
118.32 0.22 0.02 6.13
118.44 0.28 0.02 6.61
118.581 0.32 -0.02 7.22
118.711 0.34 0.03 7.81
118.921 0.41 0.03 8.82
119.131 0.48 0.01 9.66
119.251 0.56 0.02 10.21
119.382 0.61 -0.01 10.68
119.512 0.68 -0.02 11.15
119.642 0.73 -0.03 11.46
119.762 0.76 -0.03 11.73
119.892 0.81 -0.04 12.00
120.023 0.82 -0.05 12.20
120.153 0.86 -0.06 12.38
120.283 0.87 -0.08 12.47
120.403 0.89 -0.06 12.54
120.533 0.93 -0.07 12.60
120.664 0.95 -0.07 12.66
120.794 0.96 -0.06 12.71
120.924 0.96 -0.04 12.72
121.044 0.95 -0.03 12.63
121.174 0.94 -0.04 12.56
121.304 0.91 -0.01 12.58
121.415 0.90 -0.05 12.61
121.565 0.89 -0.03 12.65
121.685 0.88 -0.02 12.60
121.805 0.89 -0.03 12.62
121.945 0.89 -0.02 12.66
122.076 0.89 -0.03 12.76
122.236 0.87 -0.03 12.88
122.356 0.86 -0.06 12.91
122.486 0.86 -0.05 12.96
122.616 0.86 -0.11 13.06
122.747 0.86 -0.15 13.19
122.877 0.85 -0.14 13.29
122.997 0.86 -0.17 13.40
123.127 0.89 -0.18 13.51
123.257 0.90 -0.16 13.68
123.387 0.90 -0.15 13.82
123.508 0.91 -0.14 13.95
123.628 0.91 -0.13 14.09
123.768 0.94 -0.13 14.23
123.898 0.94 -0.09 14.32
124.008 0.93 -0.09 14.41
124.149 0.94 -0.08 14.51
124.279 0.96 -0.07 14.60
124.439 0.94 -0.09 14.75
124.569 0.94 -0.11 14.89
124.699 0.95 -0.12 14.99
124.819 0.94 -0.14 15.06
124.95 0.94 -0.17 15.11
125.08 0.95 -0.18 15.20
125.21 0.94 -0.20 15.33
125.33 0.94 -0.20 15.39
125.46 0.93 -0.20 15.37
125.591 0.92 -0.19 15.31
125.721 0.90 -0.16 15.28
125.831 0.89 -0.15 15.24
125.971 0.86 -0.13 15.20
126.101 0.86 -0.10 15.09
126.222 0.84 -0.06 14.96
126.362 0.83 -0.08 14.91
126.492 0.80 -0.04 14.93
126.642 0.77 0.04 14.95
126.772 0.75 -0.04 14.95
126.902 0.76 -0.00 15.08
127.033 0.74 -0.00 15.08
127.153 0.74 -0.05 15.23
127.283 0.72 -0.02 15.30
127.413 0.71 -0.10 15.28
127.543 0.71 -0.08 15.42
127.674 0.69 -0.09 15.38
127.794 0.68 -0.05 15.50
127.924 0.68 -0.05 15.52
128.034 0.67 -0.09 15.59
128.184 0.68 -0.09 15.61
128.305 0.67 -0.14 15.69
128.425 0.65 -0.16 15.71
128.565 0.65 -0.18 15.75
128.695 0.64 -0.21 15.72
128.815 0.61 -0.21 15.66
128.955 0.62 -0.21 15.70
129.076 0.60 -0.17 15.71
129.246 0.60 -0.11 15.69
129.366 0.59 -0.09 15.66
129.496 0.59 -0.04 15.63
129.626 0.59 -0.02 15.62
129.757 0.58 -0.01 15.60
129.877 0.57 -0.00 15.54
130.007 0.55 -0.00 15.49
130.137 0.53 -0.01 15.36
130.267 0.52 -0.03 15.29
130.398 0.49 -0.03 15.16
130.518 0.49 -0.07 15.05
130.648 0.46 -0.08 14.91
130.778 0.44 -0.11 14.77
130.908 0.42 -0.12 14.65
131.028 0.39 -0.11 14.56
131.159 0.38 -0.11 14.43
131.289 0.37 -0.14 14.36
131.409 0.36 -0.15 14.34
131.549 0.36 -0.21 14.36
131.669 0.35 -0.24 14.36
131.83 0.35 -0.29 14.43
131.96 0.35 -0.26 14.41
132.09 0.34 -0.26 14.44
132.22 0.33 -0.23 14.46
132.34 0.33 -0.21 14.49
132.47 0.32 -0.20 14.53
132.601 0.33 -0.17 14.56
132.731 0.34 -0.18 14.63
132.851 0.34 -0.15 14.64
132.981 0.36 -0.12 14.72
133.111 0.36 -0.07 14.71
133.242 0.39 -0.05 14.81
133.372 0.39 -0.03 14.86
133.492 0.41 0.01 14.99
133.612 0.42 -0.00 15.06
133.752 0.42 -0.01 15.13
133.883 0.44 -0.01 15.27
134.043 0.44 -0.06 15.29
134.163 0.43 -0.08 15.33
134.293 0.42 -0.08 15.34
134.423 0.41 -0.09 15.29
134.553 0.40 -0.12 15.32
134.684 0.40 -0.13 15.26
134.804 0.39 -0.13 15.31
134.934 0.38 -0.15 15.26
135.044 0.39 -0.14 15.27
135.194 0.39 -0.11 15.29
135.315 0.39 -0.12 15.36
135.445 0.37 -0.07 15.35
135.575 0.38 -0.06 15.34
135.705 0.37 -0.06 15.35
135.815 0.38 0.01 15.38
135.956 0.37 0.02 15.41
136.086 0.38 -0.02 15.41
136.246 0.39 -0.00 15.50
136.376 0.37 -0.02 15.61
136.506 0.38 0.01 15.65
136.636 0.35 0.02 15.70
136.757 0.35 -0.01 15.73
136.887 0.37 -0.07 15.72
137.017 0.34 -0.10 15.80
137.147 0.35 -0.13 15.79
137.277 0.37 -0.18 15.84
137.408 0.39 -0.18 15.84
137.528 0.42 -0.18 15.89
137.658 0.42 -0.15 15.95
137.788 0.44 -0.17 15.99
137.918 0.45 -0.17 16.09
138.039 0.46 -0.15 16.14
138.169 0.48 -0.14 16.23
138.299 0.47 -0.13 16.28
138.429 0.47 -0.10 16.36
138.559 0.49 -0.09 16.38
138.679 0.47 -0.07 16.44
138.8 0.48 -0.06 16.47
138.94 0.48 -0.05 16.58
139.07 0.48 -0.05 16.66
139.23 0.50 -0.03 16.67
139.35 0.49 -0.02 16.73
139.481 0.49 -0.07 16.75
139.611 0.48 -0.04 16.75
139.741 0.50 -0.06 16.81
139.871 0.53 -0.07 16.82
139.991 0.57 -0.08 16.87
140.121 0.59 -0.09 16.91
140.252 0.62 -0.11 16.94
140.372 0.63 -0.09 16.95
140.502 0.64 -0.12 16.97
140.622 0.66 -0.11 16.99
140.762 0.65 -0.13 17.02
140.893 0.65 -0.11 17.03
141.003 0.65 -0.12 17.02
141.153 0.66 -0.10 17.13
141.273 0.67 -0.09 17.16
141.393 0.64 -0.08 17.22
141.534 0.64 -0.05 17.27
141.664 0.65 -0.04 17.27
141.834 0.65 -0.05 17.40
141.964 0.65 -0.03 17.42
142.084 0.68 -0.04 17.41
142.215 0.65 -0.04 17.43
142.325 0.66 -0.05 17.43
142.475 0.67 -0.07 17.43
142.595 0.64 -0.09 17.47
142.715 0.64 -0.08 17.39
142.855 0.66 -0.12 17.43
142.986 0.64 -0.08 17.34
143.146 0.63 -0.09 17.37
143.266 0.65 -0.08 17.37
143.396 0.63 -0.08 17.33
143.526 0.63 -0.07 17.39
143.657 0.64 -0.05 17.41
143.777 0.62 -0.04 17.40
143.907 0.63 -0.03 17.40
144.037 0.63 -0.04 17.40
144.147 0.62 -0.03 17.39
144.298 0.62 -0.04 17.43
144.418 0.63 -0.05 17.44
144.538 0.63 -0.02 17.42
144.678 0.62 -0.06 17.46
144.808 0.62 -0.05 17.39
144.918 0.63 -0.06 17.35
145.069 0.63 -0.05 17.40
145.189 0.63 -0.05 17.36
145.349 0.62 -0.07 17.39
145.479 0.63 -0.07 17.42
145.609 0.62 -0.05 17.35
145.74 0.62 -0.05 17.38
145.86 0.63 -0.04 17.35
145.99 0.61 -0.05 17.32
146.12 0.62 -0.05 17.31
146.25 0.63 -0.07 17.33
146.38 0.61 -0.05 17.33
146.501 0.62 -0.06 17.37
146.631 0.63 -0.04 17.36
146.761 0.62 -0.06 17.38
146.891 0.63 -0.03 17.29
147.021 0.62 -0.04 17.36
147.132 0.63 -0.05 17.34
147.272 0.63 -0.02 17.34
147.402 0.64 -0.04 17.32
147.512 0.64 -0.02 17.33
147.652 0.64 -0.02 17.29
147.783 0.64 -0.01 17.30
147.903 0.64 -0.03 17.32
148.043 0.65 -0.03 17.28
148.173 0.64 0.00 17.26
148.333 0.65 -0.04 17.27
148.463 0.65 -0.03 17.25
148.584 0.65 -0.05 17.28
148.714 0.65 -0.05 17.23
148.844 0.65 -0.05 17.22
148.974 0.65 -0.07 17.28
149.104 0.66 -0.07 17.24
149.225 0.66 -0.07 17.28
149.355 0.67 -0.05 17.25
149.485 0.67 -0.05 17.30
149.615 0.67 -0.06 17.28
149.745 0.69 -0.05 17.24
149.866 0.67 -0.04 17.27
149.996 0.69 -0.03 17.23
150.106 0.69 -0.03 17.28
150.256 0.69 -0.02 17.25
150.386 0.71 -0.03 17.26
150.496 0.70 -0.03 17.24
150.637 0.70 -0.04 17.26
150.767 0.71 -0.05 17.28
150.877 0.71 -0.05 17.26
151.027 0.71 -0.05 17.27
151.147 0.72 -0.04 17.26
151.268 0.72 -0.02 17.32
151.408 0.74 0.01 17.35
151.538 0.74 0.00 17.44
151.658 0.74 -0.02 17.36
151.798 0.74 -0.03 17.36
151.928 0.75 -0.05 17.31
152.039 0.75 -0.09 17.27
152.179 0.75 -0.14 17.30
152.309 0.77 -0.15 17.22
152.529 0.78 -0.18 17.33
152.65 0.78 -0.11 17.36
152.78 0.77 -0.09 17.29
152.91 0.79 -0.08 17.29
153.04 0.80 -0.06 17.20
153.17 0.81 -0.02 17.19
153.29 0.82 0.00 17.18
153.421 0.81 0.01 17.17
153.551 0.82 0.03 17.17
153.681 0.83 0.01 17.19
153.801 0.83 0.02 17.24
153.931 0.83 -0.01 17.21
154.062 0.85 -0.01 17.25
154.192 0.84 -0.04 17.30
154.302 0.85 -0.04 17.29
154.442 0.88 -0.03 17.31
154.572 0.86 -0.06 17.22
154.692 0.88 -0.04 17.23
154.833 0.88 -0.05 17.24
154.963 0.88 -0.05 17.26
155.073 0.89 -0.07 17.27
155.213 0.90 -0.07 17.29
155.343 0.91 -0.09 17.32
155.464 0.93 -0.10 17.36
155.604 0.92 -0.09 17.44
155.734 0.94 -0.08 17.40
155.844 0.95 -0.05 17.42
155.994 0.96 -0.06 17.34
156.114 0.97 -0.04 17.37
156.235 0.96 -0.02 17.41
156.375 0.99 -0.01 17.44
156.505 0.99 -0.04 17.58
156.725 1.00 -0.08 17.64
156.836 1.01 -0.08 17.55
156.986 1.03 -0.10 17.50
157.106 1.01 -0.09 17.47
157.326 1.02 -0.07 17.31
157.446 1.03 -0.07 17.26
157.577 1.05 -0.05 17.26
157.707 1.04 -0.01 17.25
157.837 1.05 0.01 17.29
157.967 1.07 0.08 17.28
158.097 1.07 0.07 17.34
158.218 1.10 0.06 17.42
158.348 1.11 0.10 17.46
158.478 1.10 0.06 17.53
158.608 1.11 0.07 17.46
158.738 1.11 0.00 17.46
158.858 1.10 -0.02 17.35
158.989 1.11 -0.05 17.32
159.099 1.11 -0.10 17.23
159.249 1.11 -0.08 17.19
159.379 1.12 -0.12 17.20
159.489 1.13 -0.08 17.20
159.63 1.12 -0.08 17.20
159.76 1.14 -0.09 17.15
159.93 1.15 -0.10 17.13
160.06 1.15 -0.08 17.17
160.19 1.17 -0.00 17.17
160.321 1.18 0.03 17.16
160.441 1.19 0.05 17.09
160.571 1.20 0.03 17.08
160.701 1.21 0.02 17.01
160.831 1.21 -0.03 17.10
160.951 1.22 -0.04 17.06
161.082 1.22 -0.08 17.10
161.242 1.24 -0.10 17.06
161.372 1.24 -0.12 17.16
161.502 1.25 -0.12 17.20
161.632 1.25 -0.15 17.29
161.753 1.29 -0.17 17.29
161.883 1.29 -0.13 17.28
162.013 1.31 -0.15 17.33
162.143 1.31 -0.20 17.35
162.273 1.32 -0.22 17.35
162.394 1.34 -0.16 17.46
162.524 1.36 -0.29 17.52
162.654 1.34 -0.11 17.44
162.784 1.38 -0.10 17.32
162.904 1.36 -0.09 17.24
163.034 1.38 0.01 17.22
163.165 1.41 0.02 17.13
163.295 1.39 0.09 17.22
163.425 1.42 0.07 17.10
163.545 1.42 0.14 17.06
163.675 1.45 0.13 17.12
163.796 1.46 0.08 17.08
163.936 1.45 0.06 17.17
164.066 1.47 0.04 17.11
164.236 1.50 -0.04 17.19
164.346 1.52 -0.14 17.32
164.487 1.49 -0.21 17.35
164.617 1.53 -0.21 17.40
164.727 1.54 -0.23 17.32
164.877 1.52 -0.26 17.23
164.997 1.55 -0.26 17.11
165.228 1.57 -0.16 17.10
165.338 1.59 -0.17 17.30
165.478 1.63 -0.09 17.32
165.608 1.64 -0.02 17.27
165.718 1.64 -0.08 17.20
165.869 1.65 -0.01 16.96
165.989 1.64 -0.02 16.83
166.109 1.65 -0.03 16.71
166.249 1.66 -0.06 16.68
166.379 1.64 -0.02 16.58
166.539 1.67 -0.04 16.58
166.67 1.70 -0.05 16.54
166.8 1.68 -0.07 16.55
166.93 1.71 -0.07 16.54
167.05 1.72 -0.09 16.50
167.18 1.74 -0.09 16.52
167.311 1.76 -0.10 16.56
167.441 1.79 -0.11 16.60
167.571 1.79 -0.09 16.70
167.691 1.80 -0.09 16.60
167.821 1.75 -0.12 16.27
167.952 1.70 -0.09 15.64
168.082 1.59 -0.08 14.78
168.202 1.48 -0.12 13.90
168.332 1.35 -0.15 12.91
168.462 1.24 -0.11 11.84
168.592 1.13 -0.12 11.05
168.723 1.01 -0.16 10.05
168.843 0.90 -0.12 9.26
168.973 0.78 -0.13 8.42
169.093 0.71 -0.09 7.70
169.233 0.63 -0.06 6.93
169.354 0.58 -0.07 6.41
169.534 0.50 -0.04 5.75
169.664 0.44 -0.00 5.37
169.784 0.43 0.05 5.04
169.914 0.39 0.03 4.60
170.045 0.37 0.09 4.26
170.175 0.34 0.09 3.86
170.305 0.31 0.07 3.64
170.415 0.27 0.10 3.33
170.555 0.26 0.08 3.18
170.685 0.23 0.08 3.02
170.796 0.21 0.09 2.93
170.946 0.17 0.06 2.79
171.066 0.15 0.05 2.53
171.186 0.15 0.04 2.31
171.326 0.12 0.03 2.11
171.457 0.12 -0.01 1.99
171.627 0.09 0.00 1.70
171.757 0.07 0.02 1.41
171.887 0.07 0.02 1.26
172.007 0.06 0.02 1.21
172.138 0.04 -0.01 1.21
172.268 0.01 -0.04 1.31
172.398 -0.00 -0.03 1.07
172.508 0.01 -0.01 0.89
172.658 0.02 -0.01 0.82
172.778 -0.01 -0.01 0.76
172.899 -0.01 -0.00 0.91
173.039 -0.01 -0.01 0.86
173.169 -0.01 -0.00 0.82
173.329 -0.00 -0.01 0.75
173.449 -0.01 -0.03 0.80
173.58 -0.03 -0.04 0.87
173.71 -0.02 -0.04 0.83
173.84 -0.00 -0.04 0.78
173.97 -0.02 -0.04 0.75
174.09 -0.01 -0.06 0.74
174.221 -0.02 -0.08 0.74
174.331 -0.03 -0.07 0.69
174.481 -0.01 -0.05 0.61
174.601 -0.02 -0.06 0.61
174.721 -0.02 -0.07 0.62
174.861 -0.02 -0.04 0.61
174.992 -0.02 -0.05 0.60
175.142 -0.01 -0.06 0.56
175.272 -0.01 -0.02 0.53
175.402 -0.02 -0.03 0.55
175.532 -0.01 -0.02 0.52
175.663 -0.02 -0.02 0.46
175.783 -0.01 0.01 0.40
175.913 -0.01 0.00 0.28
176.043 -0.01 -0.00 0.20
176.153 -0.00 0.02 0.12
176.294 -0.00 0.00 0.10
176.424 0.00 -0.00 0.07
176.534 0.01 0.01 0.04
176.684 -0.00 0.00 0.05
176.804 0.00 -0.00 0.02
177.025 0.00 0.01 -0.01
177.225 0.01 0.02 -0.00
177.355 0.00 0.02 0.03
177.475 0.01 0.02 0.03
177.605 0.01 0.03 0.02
177.736 0.01 0.03 0.01
177.866 0.01 0.04 0.03
177.986 0.01 0.04 0.05
178.116 0.01 0.06 0.07
178.246 0.01 0.05 0.09
178.377 0.00 0.03 0.05
178.507 0.01 0.07 0.02
178.627 0.01 0.06 -0.00
178.747 0.01 0.06 0.00
178.887 0.01 0.06 -0.02
179.017 0.01 0.06 -0.04
179.228 0.01 0.04 -0.08
179.348 0.01 0.05 -0.12
179.478 0.02 0.04 -0.09
179.608 0.02 0.03 -0.11
179.738 0.02 0.04 -0.15
179.849 0.02 0.02 -0.15
179.989 0.01 0.03 -0.16
180.119 0.02 0.02 -0.12
180.239 0.02 0.00 -0.10
180.379 0.01 -0.00 -0.10
180.51 0.02 -0.01 -0.09
180.62 0.02 -0.02 -0.08
180.76 0.01 -0.01 -0.02
180.89 0.02 -0.02 -0.00
181.01 0.01 -0.03 0.08
181.15 0.01 -0.04 0.15
181.281 0.01 -0.02 0.22
181.391 0.00 -0.04 0.34
181.541 -0.00 -0.03 0.31
181.661 0.00 -0.02 0.28
181.781 0.02 -0.02 0.29
181.922 0.00 -0.01 0.30
182.052 0.01 -0.03 0.37
182.222 0.01 -0.02 0.34
182.352 0.01 -0.03 0.31
182.482 0.00 -0.03 0.29
182.603 0.01 -0.03 0.26
182.733 0.01 -0.02 0.24
182.863 0.00 -0.02 0.18
182.993 0.02 -0.03 0.16
183.103 0.00 -0.02 0.11
183.254 0.01 -0.03 0.14
183.374 0.01 -0.03 0.12
183.494 0.00 -0.03 0.11
183.634 0.01 -0.02 0.01
183.764 0.01 -0.03 -0.03
183.874 0.01 -0.01 -0.03
184.015 0.01 -0.01 -0.03
184.145 0.00 -0.01 -0.05
184.265 0.01 -0.02 -0.07
184.405 0.01 -0.00 -0.08
184.535 0.01 -0.01 -0.04
184.726 0.00 0.00 -0.02
184.856 -0.00 -0.00 0.01
184.976 0.01 -0.00 0.03
185.106 -0.01 -0.01 0.09
185.236 -0.01 -0.01 0.16
185.367 -0.00 -0.02 0.17
185.477 -0.02 -0.01 0.17
185.617 -0.00 -0.01 0.17
185.747 -0.01 -0.00 0.20
185.867 -0.01 -0.01 0.24
186.007 -0.01 0.01 0.27
186.138 -0.02 0.00 0.31
186.248 -0.02 -0.01 0.28
186.388 -0.01 0.01 0.29
186.518 -0.02 0.01 0.30
186.638 -0.02 -0.00 0.29
186.779 -0.02 0.01 0.30
186.909 -0.02 0.01 0.27
187.019 -0.02 0.00 0.27
187.169 -0.03 0.02 0.26
187.289 -0.02 0.02 0.23
187.409 -0.03 0.01 0.22
187.55 -0.03 0.03 0.19
187.68 -0.03 0.02 0.17
187.84 -0.03 0.01 0.15
187.97 -0.03 0.03 0.12
188.09 -0.03 0.01 0.08
188.221 -0.03 0.01 0.06
188.351 -0.04 0.01 0.02
188.481 -0.04 0.01 0.01
188.601 -0.04 0.00 -0.03
188.731 -0.04 0.01 -0.05
188.862 -0.04 0.01 -0.04
188.992 -0.04 0.01 -0.06
189.122 -0.05 -0.01 -0.06
189.232 -0.05 -0.00 -0.06
189.372 -0.05 -0.01 -0.03
189.503 -0.06 -0.02 0.01
189.613 -0.05 -0.01 0.04
189.763 -0.06 -0.01 0.08
189.883 -0.06 -0.02 0.10
190.003 -0.05 -0.02 0.14
190.143 -0.06 -0.01 0.18
190.274 -0.07 -0.02 0.24
190.434 -0.07 -0.02 0.28
190.554 -0.07 -0.01 0.28
190.684 -0.07 -0.03 0.27
190.814 -0.07 -0.02 0.30
190.945 -0.08 -0.02 0.30
191.065 -0.08 -0.02 0.29
191.195 -0.08 -0.02 0.29
191.325 -0.09 -0.01 0.23
191.435 -0.08 -0.02 0.21
191.585 -0.09 -0.03 0.19
191.706 -0.10 -0.03 0.24
191.836 -0.09 -0.02 0.22
191.966 -0.10 -0.03 0.23
192.096 -0.10 -0.00 0.21
192.206 -0.10 0.00 0.15
192.347 -0.11 -0.01 0.08
192.477 -0.10 -0.00 0.04
192.637 -0.10 0.00 0.05
192.767 -0.12 -0.00 0.02
192.897 -0.11 0.01 0.02
193.028 -0.11 0.02 0.00
193.148 -0.13 0.01 -0.05
193.278 -0.11 0.04 -0.04
193.408 -0.13 0.01 -0.10
193.538 -0.13 0.02 -0.10
193.668 -0.13 0.01 -0.14
193.789 -0.13 -0.03 -0.18
193.919 -0.14 -0.03 -0.17
194.049 -0.14 -0.03 -0.15
194.179 -0.15 -0.03 -0.10
194.309 -0.15 -0.00 -0.03
194.43 -0.15 -0.00 0.02
194.56 -0.14 0.02 0.08
194.69 -0.14 0.01 0.14
194.8 -0.16 0.03 0.37
194.95 -0.17 0.03 0.76
195.071 -0.16 0.02 1.18
195.191 -0.15 0.03 1.59
195.331 -0.12 0.02 2.05
195.461 -0.09 0.02 2.59
195.631 -0.06 -0.00 3.36
195.762 -0.03 0.02 3.98
195.892 0.02 -0.01 4.60
196.012 0.05 0.01 5.12
196.142 0.09 0.00 5.69
196.272 0.13 -0.01 6.19
196.402 0.17 0.01 6.70
196.513 0.20 0.00 7.07
196.653 0.25 0.00 7.53
196.783 0.31 0.01 8.05
196.903 0.34 0.01 8.59
197.043 0.39 0.01 9.05
197.174 0.45 -0.00 9.43
197.284 0.48 0.01 9.79
197.424 0.54 0.00 10.12
197.554 0.55 -0.02 10.55
197.674 0.57 -0.01 10.87
197.814 0.61 -0.00 11.19
197.945 0.63 -0.04 11.38
198.115 0.72 -0.01 11.75
198.255 0.77 -0.05 12.01
198.385 0.80 -0.02 12.19
198.495 0.83 -0.05 12.33
198.646 0.87 -0.06 12.42
198.766 0.90 -0.05 12.55
198.886 0.92 -0.07 12.71
199.026 0.94 -0.09 12.84
199.156 0.98 -0.09 12.87
199.277 0.98 -0.09 12.94
199.417 0.98 -0.12 12.98
199.537 0.99 -0.13 13.09
199.717 0.97 -0.14 13.20
199.857 0.97 -0.12 13.22
199.988 0.98 -0.15 13.26
200.098 0.95 -0.12 13.30
200.238 0.96 -0.14 13.41
200.368 0.97 -0.20 13.49
200.488 0.94 -0.13 13.54
200.629 0.94 -0.16 13.55
200.749 0.93 -0.12 13.59
200.929 0.92 -0.12 13.75
201.059 0.90 -0.08 13.76
201.189 0.91 -0.08 13.83
201.309 0.90 -0.02 13.85
201.44 0.92 -0.03 13.91
201.57 0.94 -0.06 14.03
201.7 0.93 -0.02 14.15
201.81 0.94 -0.05 14.30
201.95 0.95 -0.04 14.33
202.081 0.94 -0.05 14.40
202.191 0.93 -0.08 14.45
202.341 0.90 -0.06 14.50
202.461 0.90 -0.09 14.52
202.631 0.89 -0.10 14.57
202.752 0.89 -0.15 14.65
202.882 0.88 -0.13 14.68
203.012 0.87 -0.17 14.76
203.142 0.84 -0.17 14.77
203.262 0.85 -0.18 14.82
203.392 0.85 -0.18 14.87
203.523 0.83 -0.17 14.97
203.653 0.82 -0.17 15.02
203.783 0.82 -0.12 14.99
203.903 0.82 -0.10 15.02
204.033 0.81 -0.07 15.02
204.164 0.83 -0.06 15.11
204.294 0.81 -0.03 15.16
204.404 0.82 -0.01 15.23
204.544 0.82 -0.02 15.27
204.674 0.81 0.01 15.33
204.784 0.82 0.02 15.39
204.935 0.82 0.06 15.47
205.065 0.82 0.05 15.53
205.175 0.81 0.04 15.51
205.315 0.80 0.02 15.56
205.445 0.78 -0.03 15.58
205.726 0.75 -0.14 15.61
205.836 0.73 -0.21 15.57
205.976 0.72 -0.20 15.53
206.106 0.69 -0.24 15.47
206.227 0.68 -0.25 15.50
206.367 0.68 -0.30 15.47
206.497 0.66 -0.33 15.44
206.607 0.66 -0.28 15.45
206.757 0.67 -0.30 15.45
206.877 0.65 -0.28 15.44
206.998 0.65 -0.22 15.43
207.138 0.65 -0.22 15.36
207.268 0.64 -0.16 15.39
207.428 0.64 -0.04 15.37
207.548 0.66 0.06 15.46
207.679 0.65 0.09 15.52
207.809 0.66 0.13 15.52
207.939 0.67 0.14 15.54
208.069 0.65 0.14 15.64
208.189 0.65 0.12 15.66
208.32 0.63 0.06 15.63
208.45 0.62 0.05 15.59
208.58 0.61 0.00 15.56
208.7 0.59 -0.04 15.55
208.82 0.56 -0.09 15.46
208.96 0.55 -0.13 15.40
209.091 0.53 -0.17 15.32
209.201 0.53 -0.20 15.29
209.341 0.50 -0.19 15.27
209.471 0.50 -0.21 15.21
209.631 0.50 -0.23 15.21
209.762 0.49 -0.22 15.26
209.892 0.50 -0.21 15.34
210.012 0.50 -0.20 15.44
210.142 0.49 -0.19 15.49
210.272 0.51 -0.17 15.56
210.403 0.52 -0.20 15.63
210.523 0.53 -0.18 15.70
210.653 0.54 -0.20 15.77
210.783 0.55 -0.27 15.83
210.913 0.57 -0.25 15.90
211.043 0.59 -0.22 15.92
211.164 0.59 -0.18 16.01
211.294 0.61 -0.13 16.03
211.414 0.62 -0.08 16.06
211.554 0.61 -0.04 16.10
211.684 0.63 -0.00 16.06
211.795 0.62 0.02 16.14
211.935 0.62 0.06 16.09
212.065 0.63 0.08 16.17
212.225 0.63 0.13 16.16
212.355 0.63 0.11 16.17
212.486 0.62 0.09 16.15
212.616 0.60 0.05 16.11
212.736 0.59 -0.00 16.07
212.866 0.57 -0.06 16.01
212.996 0.56 -0.08 15.96
213.126 0.55 -0.13 15.87
213.257 0.54 -0.16 15.86
213.377 0.53 -0.16 15.76
213.507 0.52 -0.18 15.75
213.637 0.51 -0.13 15.67
213.767 0.51 -0.18 15.69
213.888 0.51 -0.14 15.64
214.018 0.50 -0.14 15.69
214.148 0.50 -0.10 15.69
214.278 0.50 -0.08 15.73
214.388 0.49 -0.05 15.69
214.528 0.50 -0.03 15.71
214.659 0.50 -0.02 15.74
214.779 0.48 -0.00 15.80
214.919 0.49 0.01 15.85
215.049 0.48 0.01 15.89
215.159 0.47 -0.02 15.93
215.31 0.47 -0.02 15.99
