Time GX GY GZ
s m/s^2 m/s^2 m/s^2
25.026 0.01 0.00 0.21
25.166 0.01 0.00 0.17
25.296 0.01 0.00 0.16
25.407 0.01 0.00 0.12
25.547 0.01 0.00 0.06
25.677 0.02 -0.00 0.00
25.837 0.02 0.00 -0.04
25.967 0.02 -0.01 -0.06
26.098 0.01 -0.01 -0.08
26.228 0.01 -0.02 -0.10
26.348 0.02 -0.02 -0.13
26.478 0.01 -0.02 -0.15
26.608 0.01 -0.02 -0.16
26.728 0.01 -0.02 -0.17
26.859 0.01 -0.02 -0.16
26.989 0.01 -0.02 -0.14
27.119 0.01 -0.03 -0.13
27.229 0.01 -0.03 -0.12
27.379 0.01 -0.02 -0.11
27.5 0.01 -0.03 -0.09
27.62 0.01 -0.02 -0.07
27.76 0.01 -0.02 -0.04
27.89 0.00 -0.03 0.00
28.05 0.00 -0.03 0.06
28.171 0.00 -0.02 0.09
28.301 -0.00 -0.03 0.12
28.431 -0.00 -0.02 0.18
28.561 -0.01 -0.02 0.21
28.681 -0.01 -0.03 0.25
28.811 -0.01 -0.02 0.30
28.942 -0.01 -0.02 0.31
29.072 -0.01 -0.02 0.33
29.202 -0.01 -0.02 0.34
29.322 -0.01 -0.02 0.35
29.442 -0.02 -0.02 0.35
29.583 -0.01 -0.01 0.32
29.713 -0.01 -0.01 0.31
29.823 -0.01 -0.02 0.31
29.963 -0.01 -0.01 0.30
30.093 -0.02 -0.02 0.27
30.213 -0.02 -0.02 0.23
30.354 -0.02 -0.03 0.22
30.494 -0.01 -0.03 0.22
30.614 -0.02 -0.04 0.18
30.744 -0.03 -0.04 0.16
30.874 -0.03 -0.05 0.12
31.005 -0.03 -0.04 0.10
31.135 -0.03 -0.04 0.09
31.255 -0.03 -0.04 0.07
31.385 -0.03 -0.03 0.02
31.515 -0.04 -0.03 -0.01
31.646 -0.03 -0.02 -0.05
31.776 -0.04 -0.01 -0.08
31.896 -0.03 -0.00 -0.11
32.026 -0.04 0.01 -0.13
32.156 -0.04 0.01 -0.14
32.286 -0.04 0.02 -0.17
32.407 -0.04 0.03 -0.15
32.527 -0.04 0.04 -0.16
32.667 -0.04 0.05 -0.15
32.797 -0.04 0.04 -0.12
32.957 -0.04 0.05 -0.09
33.088 -0.06 0.05 -0.05
33.218 -0.06 0.06 0.00
33.338 -0.05 0.06 0.04
33.468 -0.07 0.05 0.07
33.598 -0.06 0.06 0.13
33.729 -0.06 0.05 0.16
33.849 -0.08 0.04 0.18
33.979 -0.07 0.04 0.20
34.109 -0.08 0.03 0.20
34.239 -0.08 0.02 0.21
34.369 -0.08 0.02 0.22
34.49 -0.09 0.02 0.23
34.62 -0.09 0.01 0.20
34.73 -0.08 -0.00 0.19
34.88 -0.10 0.01 0.21
35.01 -0.09 -0.02 0.17
35.121 -0.10 -0.02 0.19
35.261 -0.11 -0.01 0.17
35.391 -0.11 -0.03 0.16
35.511 -0.10 -0.03 0.10
35.651 -0.11 -0.02 0.12
35.771 -0.11 -0.01 0.14
35.942 -0.11 -0.02 0.14
36.062 -0.12 -0.01 0.18
36.192 -0.12 -0.01 0.21
36.322 -0.12 -0.02 0.28
36.452 -0.13 0.01 0.34
36.583 -0.13 0.00 0.37
36.703 -0.13 0.02 0.40
36.833 -0.13 0.02 0.39
36.963 -0.12 0.02 0.36
37.093 -0.14 0.02 0.34
37.214 -0.15 0.02 0.46
37.344 -0.15 0.01 0.78
37.474 -0.14 0.01 1.10
37.604 -0.12 0.00 1.40
37.714 -0.11 -0.02 1.81
37.854 -0.12 -0.02 2.29
37.985 -0.11 -0.04 2.77
38.095 -0.10 -0.04 3.30
38.245 -0.06 -0.05 3.81
38.365 -0.02 -0.04 4.31
38.535 0.04 -0.05 5.07
38.656 0.09 -0.05 5.65
38.786 0.14 -0.05 6.18
38.916 0.19 -0.04 6.70
39.046 0.25 -0.05 7.22
39.166 0.28 -0.04 7.80
39.297 0.33 -0.05 8.30
39.427 0.38 -0.02 8.82
39.557 0.44 0.00 9.29
39.677 0.49 -0.01 9.67
39.807 0.52 -0.01 10.09
39.917 0.56 -0.01 10.42
40.068 0.61 0.02 10.69
40.198 0.63 -0.01 10.90
40.308 0.70 0.01 11.11
40.448 0.75 0.03 11.33
40.578 0.79 0.02 11.55
40.699 0.83 0.02 11.72
40.839 0.85 0.02 11.82
40.959 0.89 0.02 11.86
41.129 0.93 0.02 12.04
41.329 0.97 -0.03 12.24
41.45 0.99 -0.01 12.34
41.58 1.02 -0.04 12.45
41.71 1.04 -0.04 12.54
41.84 1.07 -0.07 12.70
41.97 1.07 -0.05 12.87
42.091 1.07 -0.07 13.03
42.221 1.08 -0.07 13.11
42.351 1.10 -0.06 13.21
42.481 1.10 -0.08 13.32
42.611 1.09 -0.09 13.38
42.731 1.09 -0.12 13.51
42.862 1.11 -0.15 13.65
42.992 1.11 -0.18 13.82
43.122 1.09 -0.17 13.89
43.232 1.09 -0.19 13.97
43.372 1.13 -0.20 14.11
43.503 1.12 -0.22 14.26
43.623 1.15 -0.19 14.43
43.763 1.19 -0.21 14.67
43.883 1.19 -0.19 14.82
44.003 1.21 -0.15 14.89
44.143 1.17 -0.14 14.83
44.274 1.17 -0.13 14.93
44.434 1.18 -0.09 14.90
44.564 1.14 -0.09 14.84
44.694 1.13 -0.08 14.91
44.814 1.18 -0.04 14.87
44.945 1.11 -0.08 14.90
45.075 1.12 -0.06 14.74
45.205 1.08 -0.04 14.61
45.325 1.02 -0.06 14.46
45.455 1.01 -0.05 14.31
45.586 0.96 -0.06 14.28
45.716 0.93 -0.07 14.15
45.826 0.92 -0.09 14.15
45.966 0.87 -0.08 14.00
46.096 0.87 -0.10 13.95
46.226 0.84 -0.12 13.90
46.357 0.82 -0.11 13.88
46.477 0.82 -0.13 13.87
46.597 0.78 -0.10 13.80
46.737 0.78 -0.11 13.80
46.867 0.78 -0.12 13.83
47.028 0.76 -0.08 13.88
47.158 0.75 -0.05 13.91
47.278 0.76 -0.01 13.90
47.408 0.74 0.02 13.90
47.538 0.75 0.06 13.97
47.669 0.75 0.04 14.08
47.799 0.73 0.05 14.20
47.919 0.75 0.03 14.32
48.049 0.75 0.03 14.45
48.179 0.74 0.02 14.55
48.309 0.75 -0.02 14.70
48.44 0.73 -0.04 14.76
48.56 0.74 -0.06 14.83
48.69 0.73 -0.10 14.83
48.82 0.72 -0.15 14.86
48.95 0.70 -0.20 14.85
49.081 0.68 -0.22 14.84
49.191 0.67 -0.25 14.74
49.331 0.67 -0.24 14.74
49.461 0.66 -0.27 14.70
49.631 0.65 -0.28 14.70
49.762 0.65 -0.26 14.74
49.892 0.65 -0.22 14.70
50.012 0.64 -0.20 14.76
50.132 0.66 -0.17 14.72
50.272 0.64 -0.13 14.76
50.402 0.63 -0.10 14.69
50.513 0.64 -0.05 14.74
50.653 0.63 -0.01 14.72
50.783 0.63 0.01 14.79
50.943 0.61 0.04 14.78
51.073 0.61 0.05 14.73
51.204 0.60 0.05 14.72
51.334 0.59 0.03 14.72
51.454 0.58 0.01 14.74
51.584 0.57 -0.04 14.71
51.714 0.57 -0.04 14.68
51.845 0.55 -0.06 14.65
51.975 0.54 -0.08 14.61
52.095 0.52 -0.09 14.61
52.225 0.52 -0.12 14.63
52.355 0.51 -0.16 14.66
52.485 0.51 -0.24 14.69
52.616 0.50 -0.25 14.73
52.726 0.50 -0.29 14.80
52.866 0.49 -0.31 14.78
52.996 0.49 -0.29 14.90
53.106 0.49 -0.30 14.86
53.247 0.49 -0.27 14.98
53.377 0.49 -0.22 14.99
53.497 0.49 -0.21 15.05
53.637 0.49 -0.17 15.16
53.767 0.50 -0.14 15.16
53.928 0.50 -0.10 15.27
54.048 0.51 -0.08 15.31
54.178 0.52 -0.02 15.35
54.308 0.54 -0.01 15.37
54.438 0.54 0.00 15.44
54.568 0.56 0.03 15.53
54.689 0.58 0.01 15.61
54.819 0.57 0.03 15.67
54.949 0.57 -0.00 15.70
55.079 0.58 -0.01 15.82
55.209 0.57 -0.05 15.89
55.33 0.57 -0.07 15.94
55.46 0.56 -0.07 15.90
55.59 0.55 -0.11 15.91
55.7 0.53 -0.09 15.87
55.85 0.53 -0.08 15.86
55.97 0.52 -0.04 15.79
56.101 0.52 -0.07 15.73
56.231 0.50 -0.08 15.70
56.361 0.49 -0.09 15.53
56.471 0.48 -0.11 15.43
56.611 0.46 -0.11 15.39
56.742 0.47 -0.13 15.24
57.022 0.46 -0.09 15.18
57.132 0.46 -0.06 15.22
57.282 0.44 -0.04 15.29
57.413 0.45 -0.01 15.29
57.523 0.44 0.02 15.30
57.663 0.43 0.02 15.36
57.793 0.43 0.01 15.43
57.913 0.44 -0.06 15.49
58.053 0.44 -0.10 15.64
58.174 0.44 -0.12 15.69
58.334 0.45 -0.13 15.78
58.464 0.43 -0.15 15.79
58.594 0.43 -0.14 15.80
58.724 0.42 -0.16 15.78
58.845 0.41 -0.17 15.75
58.975 0.42 -0.17 15.76
59.105 0.41 -0.17 15.71
59.235 0.41 -0.15 15.72
59.365 0.40 -0.16 15.78
59.486 0.41 -0.12 15.66
59.616 0.43 -0.13 15.77
59.726 0.45 -0.12 15.81
59.876 0.50 -0.07 15.83
60.006 0.53 -0.06 15.89
60.116 0.56 -0.06 15.75
60.257 0.58 -0.04 15.74
60.387 0.58 0.00 15.49
60.507 0.59 -0.00 15.42
60.647 0.57 -0.01 15.12
60.767 0.58 -0.02 14.66
60.928 0.56 -0.03 14.22
61.058 0.52 -0.01 13.73
61.188 0.53 -0.06 13.44
61.318 0.51 -0.09 13.20
61.438 0.50 -0.10 13.06
61.569 0.50 -0.10 12.93
61.699 0.47 -0.08 12.89
61.829 0.49 -0.10 12.89
61.959 0.48 -0.10 12.97
62.079 0.49 -0.07 12.93
62.209 0.51 -0.03 13.00
62.34 0.52 -0.03 13.28
62.47 0.54 -0.08 13.86
62.6 0.55 0.00 14.33
62.71 0.58 -0.02 14.86
62.85 0.61 -0.01 15.24
62.981 0.61 -0.00 15.71
63.091 0.63 -0.04 16.01
63.241 0.64 -0.07 16.27
63.361 0.64 -0.08 16.46
63.521 0.64 -0.02 16.45
63.652 0.67 -0.05 16.60
63.782 0.64 0.01 16.66
63.912 0.65 -0.02 16.72
64.042 0.65 0.01 16.71
64.162 0.65 0.01 16.73
64.292 0.67 -0.03 16.82
64.423 0.66 0.01 16.86
64.553 0.65 -0.01 16.99
64.673 0.67 -0.00 16.93
64.803 0.66 -0.06 17.09
64.933 0.66 -0.06 17.25
65.064 0.66 -0.04 17.27
65.194 0.66 -0.09 17.44
65.304 0.66 -0.06 17.30
65.444 0.67 -0.07 17.32
65.574 0.65 -0.05 17.21
65.694 0.65 -0.07 17.25
65.835 0.64 -0.05 17.29
65.955 0.66 -0.08 17.24
66.135 0.66 -0.06 17.24
66.255 0.64 -0.04 17.24
66.385 0.65 -0.06 17.27
66.516 0.65 -0.04 17.24
66.626 0.63 -0.02 17.29
66.776 0.67 -0.03 17.30
66.896 0.65 -0.03 17.33
67.016 0.64 -0.03 17.39
67.157 0.67 0.00 17.36
67.287 0.64 -0.01 17.37
67.437 0.64 -0.00 17.28
67.567 0.66 -0.03 17.27
67.697 0.63 -0.02 17.34
67.828 0.64 -0.00 17.30
67.948 0.66 -0.03 17.27
68.078 0.63 -0.04 17.36
68.208 0.65 -0.04 17.30
68.338 0.64 -0.03 17.27
68.448 0.64 -0.06 17.26
68.589 0.63 -0.05 17.21
68.719 0.65 -0.06 17.27
68.829 0.65 -0.04 17.26
68.979 0.64 -0.09 17.35
69.099 0.65 -0.06 17.38
69.32 0.66 -0.08 17.29
69.44 0.67 -0.05 17.35
69.58 0.64 -0.05 17.28
69.71 0.68 -0.01 17.33
69.921 0.66 -0.02 17.33
70.051 0.70 0.02 17.35
70.181 0.66 0.00 17.26
70.311 0.67 0.01 17.39
70.431 0.67 0.02 17.42
70.561 0.67 -0.03 17.38
70.692 0.68 -0.04 17.40
70.822 0.67 -0.01 17.37
70.952 0.67 -0.02 17.35
71.072 0.68 -0.01 17.06
71.202 0.65 0.01 17.11
71.333 0.68 -0.03 17.08
71.463 0.70 -0.08 17.22
71.583 0.66 -0.06 17.53
71.703 0.72 0.02 17.46
71.843 0.66 -0.07 17.39
71.974 0.70 -0.03 17.05
72.094 0.70 -0.02 17.15
72.234 0.68 -0.06 17.30
72.354 0.74 -0.06 17.40
72.534 0.72 -0.07 17.34
72.644 0.70 -0.10 17.15
72.785 0.72 -0.09 17.18
72.915 0.72 -0.09 17.26
73.025 0.72 -0.06 17.35
73.165 0.75 -0.05 17.34
73.295 0.75 -0.05 17.32
73.416 0.75 -0.02 17.35
73.556 0.76 -0.03 17.30
73.686 0.77 -0.02 17.27
73.796 0.78 -0.05 17.17
73.936 0.76 -0.04 17.17
74.067 0.77 -0.00 17.21
74.227 0.77 -0.08 17.13
74.357 0.80 -0.00 17.17
74.487 0.81 -0.02 17.15
74.617 0.80 -0.05 17.08
74.737 0.80 -0.02 17.14
74.868 0.81 -0.02 17.11
74.998 0.81 -0.01 17.19
75.128 0.82 0.03 17.17
75.248 0.83 0.02 17.24
75.378 0.83 -0.03 17.27
75.509 0.83 -0.01 17.25
75.639 0.86 -0.04 17.30
75.769 0.86 -0.06 17.36
75.899 0.86 -0.08 17.41
76.009 0.87 -0.05 17.46
76.15 0.88 -0.06 17.44
76.28 0.89 -0.04 17.48
76.39 0.89 -0.04 17.52
76.53 0.89 -0.07 17.52
76.66 0.89 -0.01 17.44
76.83 0.93 0.03 17.48
76.941 0.91 0.03 17.49
77.091 0.92 0.04 17.46
77.211 0.94 0.04 17.37
77.331 0.94 0.07 17.31
77.471 0.96 -0.01 17.37
77.602 0.94 -0.09 17.37
77.822 0.95 -0.11 17.40
77.932 0.93 -0.09 17.33
78.082 0.96 -0.16 17.31
78.212 0.94 -0.15 17.34
78.323 0.96 -0.13 17.29
78.463 0.97 -0.09 17.28
78.593 0.98 -0.11 17.17
78.753 0.98 -0.07 17.10
78.883 0.99 -0.06 17.10
79.004 1.00 -0.06 17.14
79.134 1.01 -0.01 17.21
79.264 1.02 0.01 17.22
79.394 1.04 0.02 17.29
79.524 1.04 0.06 17.25
79.645 1.05 0.06 17.31
79.775 1.06 0.08 17.22
79.905 1.04 0.06 17.23
80.035 1.06 0.07 17.19
80.145 1.08 0.05 17.14
80.285 1.07 0.05 17.20
80.416 1.10 0.05 17.11
80.526 1.08 -0.02 17.17
80.676 1.08 -0.03 17.07
80.796 1.10 -0.04 17.07
81.027 1.12 -0.05 17.26
81.137 1.12 -0.01 17.30
81.277 1.14 -0.09 17.36
81.407 1.13 -0.05 17.22
81.527 1.15 -0.04 17.33
81.667 1.17 -0.07 17.27
81.798 1.14 -0.06 17.36
81.908 1.18 -0.07 17.33
82.048 1.17 -0.01 17.15
82.178 1.17 -0.06 17.11
82.338 1.19 -0.08 17.14
82.469 1.21 -0.10 17.21
82.599 1.20 -0.12 17.29
82.729 1.23 -0.09 17.22
82.849 1.23 -0.15 17.34
82.979 1.25 -0.12 17.40
